colonia,alcaldia,casos_totales,longitude,latitude
SANTA MARIA AZTAHUACAN (EJ) I,IZTAPALAPA,7,  -99.0326514487,19.3592549794 
SANTA MARIA AZTAHUACAN (EJ) II,IZTAPALAPA,17,  -99.0329677228,19.3498463725 
STA MARTHA ACATITLA NTE (AMPL) I,IZTAPALAPA,12,  -99.0207006843,19.3799974196 
STA MARTHA ACATITLA NTE (AMPL) II,IZTAPALAPA,18,  -99.0128404767,19.3749862597 
TEPALCATES I,IZTAPALAPA,11,  -99.052574619,19.389919008 
TEPALCATES II,IZTAPALAPA,17,  -99.0566070353,19.3931769281 
VALLE DE SAN LORENZO I,IZTAPALAPA,18,  -99.0772569339,19.2975252584 
VALLE DE SAN LORENZO II,IZTAPALAPA,12,  -99.0785767559,19.3015002516 
XALPA II,IZTAPALAPA,10,  -99.0145517798,19.3437032645 
XALPA III,IZTAPALAPA,18,  -99.0179214223,19.3391120386 
JUAN ESCUTIA III,IZTAPALAPA,14,  -99.0324549665,19.3862594268 
SANTA BARBARA (BARR) II,IZTAPALAPA,6,  -99.1014768029,19.3657304982 
BARROS SIERRA,LA MAGDALENA CONTRERAS,12,  -99.2464670126,19.3167607173 
CAZULCO (BARR),LA MAGDALENA CONTRERAS,6,  -99.2570721564,19.2930570398 
CUAUHTEMOC,LA MAGDALENA CONTRERAS,21,  -99.243255303,19.3200700913 
EL GAVILLERO,LA MAGDALENA CONTRERAS,6,  -99.2554739881,19.2812605506 
EL OCOTAL,LA MAGDALENA CONTRERAS,27,  -99.2622348848,19.2990530115 
EL ROSAL,LA MAGDALENA CONTRERAS,13,  -99.250340772,19.3097152716 
EL TANQUE,LA MAGDALENA CONTRERAS,21,  -99.2510112527,19.325119803 
HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,10,  -99.2244598454,19.3133186911 
LA CONCEPCION,LA MAGDALENA CONTRERAS,6,  -99.2348552712,19.3031779561 
LA CRUZ,LA MAGDALENA CONTRERAS,8,  -99.2344937399,19.3085863467 
LA MAGDALENA ATLITIC (PBLO),LA MAGDALENA CONTRERAS,8,  -99.2459457534,19.3020079658 
LA MALINCHE,LA MAGDALENA CONTRERAS,12,  -99.2414905552,19.3231776438 
LAS CRUCES,LA MAGDALENA CONTRERAS,28,  -99.2537493342,19.3203526607 
LOMAS DE SAN BERNABE,LA MAGDALENA CONTRERAS,18,  -99.2636899955,19.3122494789 
LOMAS DE SAN BERNABE (AMPL),LA MAGDALENA CONTRERAS,15,  -99.2701904302,19.3073287289 
LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,9,  -99.2406158624,19.3152774944 
LOS PADRES,LA MAGDALENA CONTRERAS,21,  -99.2484454036,19.3198377904 
PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,15,  -99.2531327647,19.3043527761 
PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,10,  -99.245343565,19.306936172 
SAN BERNABE OCOTEPEC (PBLO),LA MAGDALENA CONTRERAS,16,  -99.2575042019,19.314235069 
SAN FRANCISCO (BARR),LA MAGDALENA CONTRERAS,16,  -99.2366074713,19.3125851888 
SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,32,  -99.2251974775,19.3247418284 
SAN NICOLAS TOTOLAPAN,LA MAGDALENA CONTRERAS,12,  -99.2362662641,19.2991944889 
SAN NICOLAS TOTOLAPAN (PBLO),LA MAGDALENA CONTRERAS,15,  -99.2448441057,19.297057085 
VISTA HERMOSA,LA MAGDALENA CONTRERAS,8,  -99.2534158751,19.3127410831 
SAN ANTONIO TECOMITL (PBLO),MILPA ALTA,78,  -98.9930097011,19.2128732956 
SAN BARTOLOME XICOMULCO (PBLO),MILPA ALTA,13,  -99.0668927124,19.2059269917 
SAN LORENZO TLACOYUCAN (PBLO),MILPA ALTA,6,  -99.0307832925,19.1752495674 
SAN PABLO OZTOTEPEC (PBLO),MILPA ALTA,94,  -99.0724622966,19.1831039215 
SAN PEDRO ATOCPAN (PBLO),MILPA ALTA,24,  -99.0485933333,19.2055849843 
SAN SALVADOR CUAUHTENCO (PBLO),MILPA ALTA,50,  -99.0947381285,19.1918468052 
SANTA ANA TLACOTENCO (PBLO),MILPA ALTA,15,  -98.9994806507,19.1737211171 
VILLA MILPA ALTA (PBLO),MILPA ALTA,27,  -99.0235902837,19.1933533513 
ALFONSO XIII,ALVARO OBREGON,20,  -99.1953893317,19.376324246 
ALPES,ALVARO OBREGON,7,  -99.1939575985,19.3605023159 
BARRIO NORTE,ALVARO OBREGON,46,  -99.2073475179,19.378639232 
BELLA VISTA,ALVARO OBREGON,18,  -99.1935569504,19.3968471214 
CALZADA JALALPA,ALVARO OBREGON,7,  -99.2238651624,19.3816948036 
GARCIMARRERO,ALVARO OBREGON,8,  -99.2372253368,19.3651992506 
GARCIMARRERO NORTE,ALVARO OBREGON,6,  -99.2397165565,19.3681037568 
GOLONDRINAS,ALVARO OBREGON,8,  -99.2132912071,19.3785224117 
HERON PROAL,ALVARO OBREGON,7,  -99.2300822984,19.3580600774 
JALALPA,ALVARO OBREGON,6,  -99.2286470082,19.3791131621 
JALALPA EL GRANDE,ALVARO OBREGON,8,  -99.2428942099,19.3696391962 
JALALPA TEPITO,ALVARO OBREGON,7,  -99.2365782269,19.3758735843 
JARDINES DEL PEDREGAL,ALVARO OBREGON,15,  -99.2074193222,19.3197415813 
JOSE MARIA PINO SUAREZ,ALVARO OBREGON,8,  -99.1988209964,19.3961304545 
LA ANGOSTURA,ALVARO OBREGON,7,  -99.2324372423,19.3330055061 
LA CASCADA,ALVARO OBREGON,7,  -99.2023092562,19.3693392206 
LA JOYA,ALVARO OBREGON,7,  -99.2095397086,19.3847079384 
LA MARTINICA,ALVARO OBREGON,25,  -99.2211776357,19.3579603954 
LA MEXICANA,ALVARO OBREGON,9,  -99.2316289992,19.3820486313 
LAS AGUILAS,ALVARO OBREGON,8,  -99.2027058439,19.3605801994 
LAS AGUILAS (AMPL),ALVARO OBREGON,14,  -99.2135955314,19.351175309 
LAS CUEVITAS,ALVARO OBREGON,6,  -99.2257695407,19.3867872679 
LIBERALES DE 1857,ALVARO OBREGON,7,  -99.212576208,19.3935551206 
LOMAS DE BECERRA,ALVARO OBREGON,11,  -99.2170503248,19.3846223125 
LOMAS DE CAPULA,ALVARO OBREGON,14,  -99.2158427092,19.3796082277 
LOMAS DE CHAMONTOYA,ALVARO OBREGON,21,  -99.268434575,19.3170165912 
LOMAS DE LA ERA,ALVARO OBREGON,31,  -99.2626670718,19.3211369234 
LOMAS DE PUERTA GRANDE,ALVARO OBREGON,8,  -99.2298045123,19.3544654739 
MARIA G DE GARCIA RUIZ,ALVARO OBREGON,7,  -99.2116366432,19.3877237484 
MERCED GOMEZ,ALVARO OBREGON,26,  -99.2027877592,19.3648350491 
MOLINO DE ROSAS,ALVARO OBREGON,16,  -99.2007195658,19.3720650774 
OLIVAR DE LOS PADRES,ALVARO OBREGON,13,  -99.2305344478,19.3368485922 
PARAJE EL CABALLITO,ALVARO OBREGON,9,  -99.2732448612,19.3153569742 
PILOTO (ADOLFO LOPEZ MATEOS) (AMPL),ALVARO OBREGON,6,  -99.2268333253,19.3717933178 
PRESIDENTES,ALVARO OBREGON,6,  -99.2216785598,19.3783804243 
PROGRESO TIZAPAN,ALVARO OBREGON,20,  -99.2046659533,19.3398979151 
PUNTA DE CEHUAYO,ALVARO OBREGON,8,  -99.2411679808,19.3610735121 
REACOMODO EL CUERNITO,ALVARO OBREGON,7,  -99.207543001,19.3824628711 
SAN BARTOLO AMEYALCO (PBLO),ALVARO OBREGON,43,  -99.269901144,19.3303063838 
SAN CLEMENTE,ALVARO OBREGON,7,  -99.2262178725,19.3493092254 
SANTA FE,ALVARO OBREGON,14,  -99.2318957161,19.3892631023 
SANTA LUCIA,ALVARO OBREGON,10,  -99.2532861419,19.3577370816 
SANTA MARIA NONOALCO,ALVARO OBREGON,9,  -99.1930730511,19.3806980842 
SANTA ROSA XOCHIAC (PBLO),ALVARO OBREGON,12,  -99.2891880497,19.3251586908 
TETELPAN (PBLO),ALVARO OBREGON,9,  -99.2254307598,19.3421282914 
TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,17,  -99.2009090655,19.3368074004 
TLACOYAQUE (AMPL),ALVARO OBREGON,8,  -99.2687710311,19.3218375279 
TORRES DE POTRERO,ALVARO OBREGON,29,  -99.2489825107,19.3299977251 
BELEN DE LAS FLORES (U HAB),ALVARO OBREGON,6,  -99.2229820331,19.3854328902 
LOMAS DE PLATEROS (U HAB) II,ALVARO OBREGON,7,  -99.1959884765,19.3687818663 
OLIVAR DEL CONDE 1RA SECCION I,ALVARO OBREGON,24,  -99.2047502648,19.3751601613 
OLIVAR DEL CONDE 1RA SECCION II,ALVARO OBREGON,9,  -99.2099614766,19.3745995463 
OLIVAR DEL CONDE 2DA SECCION I,ALVARO OBREGON,9,  -99.2159720172,19.3723865694 
OLIVAR DEL CONDE 2DA SECCION II,ALVARO OBREGON,10,  -99.2205281841,19.3717615938 
AGRICOLA METROPOLITANA,TLAHUAC,14,  -99.0525423524,19.2908559361 
DEL MAR SUR,TLAHUAC,26,  -99.0610557699,19.2865593962 
JAIME TORRES BODET,TLAHUAC,17,  -98.9987550743,19.230429151 
LA DRAGA,TLAHUAC,12,  -99.0447195827,19.2803161526 
LA ESTACION,TLAHUAC,18,  -99.0419860286,19.3112429734 
LA HABANA,TLAHUAC,8,  -98.995854647,19.2678599221 
LA NOPALERA,TLAHUAC,9,  -99.0531172149,19.2980780163 
LAS ARBOLEDAS,TLAHUAC,12,  -99.0530244912,19.3080096465 
LOPEZ PORTILLO,TLAHUAC,11,  -99.0208497074,19.3090018876 
LOS OLIVOS,TLAHUAC,16,  -99.0585402645,19.3013132281 
MIGUEL HIDALGO,TLAHUAC,26,  -99.0480962354,19.2944132376 
MIGUEL HIDALGO OTE,TLAHUAC,24,  -99.0437386374,19.2915810102 
OJO DE AGUA,TLAHUAC,7,  -99.0128027696,19.2895376558 
PEA ALTA,TLAHUAC,7,  -99.0049066598,19.2324585779 
SAN ANDRES MIXQUIC (PBLO),TLAHUAC,29,  -98.9595605977,19.2223716426 
SAN FRANCISCO TLALTENCO (PBLO),TLAHUAC,49,  -99.0128562299,19.306581711 
SAN JOSE,TLAHUAC,9,  -98.985443234,19.2716370692 
SAN JUAN IXTAYOPAN (PBLO),TLAHUAC,22,  -98.9950184535,19.2453061016 
SAN MIGUEL ZAPOTITLA,TLAHUAC,21,  -99.0368153907,19.3106195548 
SAN NICOLAS TETELCO (PBLO),TLAHUAC,7,  -98.9757394396,19.217583488 
SAN PEDRO TLAHUAC (PBLO),TLAHUAC,46,  -99.0099630061,19.270261466 
SANTA CATARINA YECAHUIZOTL (PBLO),TLAHUAC,15,  -98.9733643634,19.3041139142 
SANTA CECILIA,TLAHUAC,9,  -99.006519451,19.2791694024 
SANTIAGO ZAPOTITLAN (PBLO),TLAHUAC,18,  -99.0307623408,19.3063225919 
SELENE (AMPL),TLAHUAC,14,  -98.9945845994,19.2869573194 
SELENE 1a SECC,TLAHUAC,29,  -99.0030293696,19.2923840939 
SELENE 2da SECC,TLAHUAC,20,  -99.0048288573,19.284969517 
VILLA CENTROAMERICANA (U HAB),TLAHUAC,10,  -99.0546397192,19.2834709085 
VILLAS DE LOS TRABAJADORES (GDF) (U HAB),TLAHUAC,12,  -99.0521197297,19.2807875173 
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,TLAHUAC,11,  -99.0486782031,19.306275306 
LA CONCHITA I,TLAHUAC,11,  -99.0383908272,19.2864878255 
LA CONCHITA II,TLAHUAC,34,  -99.0323207737,19.2836289121 
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,TLAHUAC,14,  -99.0440542325,19.3033216123 
AMPLIACION MIGUEL HIDALGO 2A SECC,TLALPAN,17,  -99.1978261289,19.2824813125 
AMPLIACION MIGUEL HIDALGO 3A SECC,TLALPAN,26,  -99.2067698443,19.2800027786 
AMSA,TLALPAN,6,  -99.1388689884,19.2850123087 
ARENAL GUADALUPE TLALPAN,TLALPAN,10,  -99.1462403923,19.286604232 
BOSQUES DEL PEDREGAL,TLALPAN,9,  -99.2391172024,19.2719675159 
CHIMILLI,TLALPAN,6,  -99.2192686138,19.2688365879 
CUCHILLA DE PADIERNA,TLALPAN,6,  -99.2183774811,19.2761961564 
CULTURA MAYA,TLALPAN,6,  -99.2230166175,19.2758863423 
EJIDOS DE SAN PEDRO MARTIR I (NORTE),TLALPAN,14,  -99.1569650754,19.2720937767 
EL ZACATON,TLALPAN,13,  -99.2427997424,19.2675801538 
ISIDRO FABELA I (PONIENTE),TLALPAN,13,  -99.179670252,19.3012456594 
JARDINES DE SAN JUAN,TLALPAN,9,  -99.1863727368,19.2115435456 
LA MAGDALENA PETLACALCO (PBLO),TLALPAN,23,  -99.1833497672,19.2345462054 
LA PRIMAVERA,TLALPAN,10,  -99.2029159289,19.267178457 
"MESA LOS HORNOS, TEXCALTENCO",TLALPAN,13,  -99.1844408992,19.2748311669 
MIGUEL HIDALGO,TLALPAN,39,  -99.1857504677,19.287727105 
PEDREGAL DE SN NICOLAS 1A SECC,TLALPAN,28,  -99.2357126671,19.2933723862 
PEDREGAL DE SN NICOLAS 2A SECC,TLALPAN,17,  -99.2352818832,19.2888117484 
PEDREGAL DE SN NICOLAS 3A SECC,TLALPAN,25,  -99.2364815215,19.2843089691 
PEDREGAL DE STA URSULA XITLA,TLALPAN,8,  -99.1780174378,19.2737448897 
POPULAR STA TERESA,TLALPAN,10,  -99.2239950398,19.3009292385 
SAN ANDRES TOTOLTEPEC (PBLO),TLALPAN,35,  -99.170959882,19.2480443192 
SN JUAN TEPEXIMILPA,TLALPAN,6,  -99.1904273874,19.272749946 
SAN LORENZO HUIPULCO,TLALPAN,15,  -99.1496338018,19.2953427125 
SAN MIGUEL  XICALCO (PBLO),TLALPAN,24,  -99.1633025232,19.2318227124 
SAN MIGUEL AJUSCO (PBLO),TLALPAN,26,  -99.196806531,19.2278384745 
SAN MIGUEL TOPILEJO (PBLO),TLALPAN,63,  -99.1579184481,19.1963273832 
SAN PEDRO MARTIR (PBLO),TLALPAN,18,  -99.1713317632,19.2657243691 
SANTA URSULA XITLA,TLALPAN,20,  -99.1786759609,19.2807278004 
SANTO TOMAS AJUSCO (PBLO),TLALPAN,27,  -99.217263973,19.2128922362 
TENORIOS INFONAVIT 1 Y 2 (U HAB),TLALPAN,10,  -99.1175309381,19.2968405485 
TEPETONGO,TLALPAN,10,  -99.1885141376,19.2709004805 
TLALCOLIGIA,TLALPAN,11,  -99.1709694646,19.2759761124 
TLALPAN CENTRO,TLALPAN,17,  -99.1704866369,19.2877936198 
VILLA COAPA (RDCIAL),TLALPAN,7,  -99.1189445396,19.2896524789 
HEROES DE PADIERNA I,TLALPAN,21,  -99.2240520364,19.2859029752 
HEROES DE PADIERNA II,TLALPAN,19,  -99.2200663547,19.2807474585 
LOMAS DE  PADIERNA I,TLALPAN,16,  -99.2274938335,19.2939402464 
LOMAS DE  PADIERNA II,TLALPAN,15,  -99.2184620277,19.2949575419 
PEDREGAL DE SN NICOLAS 4A SECC I,TLALPAN,10,  -99.2395881516,19.2775082687 
PEDREGAL DE SN NICOLAS 4A SECC II,TLALPAN,8,  -99.2333747185,19.2789547502 
BELISARIO DOMINGUEZ,TLALPAN,7,  -99.1555858169,19.2895041108 
EJIDOS DE SAN PEDRO MARTIR II (SUR),TLALPAN,19,  -99.1588720532,19.2674469272 
ISIDRO FABELA II (ORIENTE),TLALPAN,7,  -99.1704398822,19.3005508985 
LOMAS DE TEPEMECATL,TLALPAN,9,  -99.23201652,19.2379800806 
BARRIO 18,XOCHIMILCO,6,  -99.1115386352,19.2844417862 
CALTONGO (BARR),XOCHIMILCO,11,  -99.0866169525,19.2578760734 
CERRO GRANDE,XOCHIMILCO,16,  -99.1177698469,19.2389720375 
EL CARMEN,XOCHIMILCO,6,  -99.0303102988,19.2452198892 
GUADALUPE,XOCHIMILCO,7,  -99.1180871448,19.2137218593 
LA ASUNCION (BARR),XOCHIMILCO,10,  -99.0984661957,19.2716677106 
LA CONCHA,XOCHIMILCO,9,  -99.1161535094,19.252396051 
LA NORIA TEPEPAN,XOCHIMILCO,7,  -99.1283442665,19.266093494 
LA SANTISIMA (BARR),XOCHIMILCO,8,  -99.0906173608,19.2633179042 
LOS CERRILLOS II,XOCHIMILCO,9,  -99.0174003453,19.24386363 
NATIVITAS LA JOYA (AMPL),XOCHIMILCO,15,  -99.0893558006,19.2286757421 
OLIVAR SANTA MARIA,XOCHIMILCO,8,  -99.0091478001,19.2436124974 
POTRERO DE SAN BERNARDINO,XOCHIMILCO,6,  -99.1214824908,19.2696296345 
SAN ANDRES AHUAYUCAN (PBLO),XOCHIMILCO,30,  -99.1065992039,19.2172463589 
SAN FRANCISCO TLALNEPANTLA (PBLO),XOCHIMILCO,28,  -99.1172533403,19.1809191404 
SAN GREGORIO ATLAPULCO (PBLO),XOCHIMILCO,50,  -99.0545280376,19.2603636603 
SAN JOSE ZACATEPEC,XOCHIMILCO,8,  -99.1242117128,19.2391239509 
SAN LORENZO (BARR),XOCHIMILCO,6,  -99.0775263646,19.2718995946 
SAN LORENZO ATEMOAYA (PBLO),XOCHIMILCO,34,  -99.1007881266,19.2398267151 
SAN LUCAS XOCHIMANCA (PBLO),XOCHIMILCO,37,  -99.1113747474,19.2417732599 
SAN LUIS TLAXIALTEMALCO (PBLO),XOCHIMILCO,24,  -99.0362633243,19.2544188803 
SAN MARCOS (AMPL),XOCHIMILCO,20,  -99.0941599779,19.2878345489 
SAN MARCOS (BARR),XOCHIMILCO,20,  -99.1111586679,19.2631694092 
SAN MATEO XALPA (PBLO),XOCHIMILCO,21,  -99.1202999882,19.2309201778 
SAN PEDRO (BARR),XOCHIMILCO,7,  -99.1083580587,19.2568632116 
SANTA CECILIA TEPETLAPA (PBLO),XOCHIMILCO,29,  -99.0860833174,19.212485509 
SANTA CRUZ ACALPIXCA (PBLO),XOCHIMILCO,45,  -99.0748419028,19.2462934588 
SANTA CRUZ XOCHITEPEC (PBLO),XOCHIMILCO,24,  -99.1333048351,19.2549237647 
SANTA INES,XOCHIMILCO,8,  -99.1144230374,19.2339072969 
SANTA MARIA NATIVITAS (PBLO),XOCHIMILCO,46,  -99.0890549201,19.2435001879 
SANTA MARIA TEPEPAN (PBLO),XOCHIMILCO,13,  -99.1371811061,19.2727118856 
SANTIAGO TEPALCATLALPAN (PBLO),XOCHIMILCO,50,  -99.1283393001,19.2445647226 
SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,18,  -99.0143000988,19.2560114785 
TECACALANCO,XOCHIMILCO,6,  -99.0636551503,19.2405267197 
TEPEPAN (AMPL),XOCHIMILCO,12,  -99.1336360059,19.2633712219 
TIERRA NUEVA,XOCHIMILCO,9,  -99.1193448586,19.2659808577 
XALTOCAN (BARR),XOCHIMILCO,30,  -99.1005431185,19.2528342142 
XICALHUACAN,XOCHIMILCO,6,  -99.0808150209,19.2535524342 
SAN LORENZO LA CEBADA I,XOCHIMILCO,16,  -99.1191010693,19.2850702639 
SAN LORENZO LA CEBADA II,XOCHIMILCO,10,  -99.1205933391,19.2795191326 
ACTIPAN,BENITO JUAREZ,6,  -99.1781670524,19.3698819161 
AMERICAS UNIDAS-DEL LAGO,BENITO JUAREZ,7,  -99.1416770553,19.3818546447 
INDEPENDENCIA,BENITO JUAREZ,6,  -99.1480954964,19.3797733751 
MIXCOAC,BENITO JUAREZ,7,  -99.1900032071,19.372884049 
MODERNA,BENITO JUAREZ,14,  -99.1346460986,19.395254545 
NATIVITAS,BENITO JUAREZ,15,  -99.1372833875,19.3816589097 
NONOALCO,BENITO JUAREZ,11,  -99.1882334724,19.3817607921 
PIEDAD NARVARTE,BENITO JUAREZ,7,  -99.1562339153,19.4027049534 
PORTALES ORIENTE,BENITO JUAREZ,9,  -99.1402087162,19.365916354 
SAN PEDRO DE LOS  PINOS,BENITO JUAREZ,13,  -99.1847606139,19.3904318465 
STA CRUZ ATOYAC,BENITO JUAREZ,6,  -99.1607619028,19.3681589306 
VERTIZ NARVARTE,BENITO JUAREZ,7,  -99.153686751,19.3819977642 
ALAMOS I,BENITO JUAREZ,16,  -99.1409292016,19.4004298498 
ALAMOS II,BENITO JUAREZ,18,  -99.1422306031,19.3949010858 
DEL VALLE I,BENITO JUAREZ,6,  -99.1653619352,19.3979204525 
DEL VALLE II,BENITO JUAREZ,11,  -99.1669318787,19.3923963454 
DEL VALLE V,BENITO JUAREZ,6,  -99.1688277207,19.3758998445 
NARVARTE I,BENITO JUAREZ,9,  -99.1525120257,19.4001905635 
NARVARTE V,BENITO JUAREZ,9,  -99.1571597677,19.3860505701 
NARVARTE VI,BENITO JUAREZ,6,  -99.1503848461,19.3868932017 
PORTALES II,BENITO JUAREZ,12,  -99.1488177919,19.3671996695 
PORTALES III,BENITO JUAREZ,10,  -99.1488866713,19.3632112784 
PORTALES IV,BENITO JUAREZ,11,  -99.1487837012,19.3592721985 
ALGARIN,CUAUHTEMOC,6,  -99.1402683369,19.4055862513 
ASTURIAS,CUAUHTEMOC,8,  -99.1312401576,19.4046308544 
ASTURIAS (AMPL),CUAUHTEMOC,7,  -99.1310629695,19.4071962945 
ATLAMPA,CUAUHTEMOC,10,  -99.1563686743,19.4586445841 
BUENOS AIRES,CUAUHTEMOC,9,  -99.1446313482,19.4071966156 
CUAUHTEMOC,CUAUHTEMOC,11,  -99.1686722574,19.4299776806 
ESPERANZA,CUAUHTEMOC,7,  -99.1282884556,19.4204440063 
EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,18,  -99.1347779305,19.4566624075 
JUAREZ,CUAUHTEMOC,20,  -99.1616054122,19.4270038256 
PAULINO NAVARRO,CUAUHTEMOC,14,  -99.1299500041,19.4117075418 
SAN SIMON TOLNAHUAC,CUAUHTEMOC,15,  -99.1431802383,19.4595317038 
TABACALERA,CUAUHTEMOC,9,  -99.1539492806,19.4357759781 
TRANSITO,CUAUHTEMOC,14,  -99.1315091546,19.4178611105 
VALLE GOMEZ,CUAUHTEMOC,11,  -99.1250261379,19.4588759476 
VISTA ALEGRE,CUAUHTEMOC,6,  -99.1328548616,19.4101695171 
BUENAVISTA I,CUAUHTEMOC,20,  -99.1495963852,19.4496135645 
BUENAVISTA II,CUAUHTEMOC,20,  -99.1513520907,19.4421892858 
CENTRO I,CUAUHTEMOC,10,  -99.1325129751,19.441997265 
CENTRO II,CUAUHTEMOC,15,  -99.1285178964,19.4398500953 
CENTRO III,CUAUHTEMOC,7,  -99.1284523074,19.4367707124 
CENTRO IV,CUAUHTEMOC,27,  -99.1360300552,19.4336362466 
CENTRO VI,CUAUHTEMOC,32,  -99.1346482655,19.4247184898 
CENTRO VII,CUAUHTEMOC,8,  -99.1281413675,19.4302248036 
CENTRO VIII,CUAUHTEMOC,23,  -99.1463947881,19.4315052317 
DOCTORES I,CUAUHTEMOC,19,  -99.1472917929,19.4239554155 
DOCTORES II,CUAUHTEMOC,12,  -99.1508495556,19.4198737194 
DOCTORES III,CUAUHTEMOC,11,  -99.1458095732,19.4164724858 
DOCTORES IV,CUAUHTEMOC,12,  -99.1518458397,19.4119151507 
DOCTORES V,CUAUHTEMOC,8,  -99.1467901424,19.4103772864 
GUERRERO I,CUAUHTEMOC,19,  -99.1437494279,19.4490761845 
GUERRERO II,CUAUHTEMOC,14,  -99.1395504054,19.4470270735 
GUERRERO III,CUAUHTEMOC,24,  -99.1460093369,19.4421924076 
GUERRERO IV,CUAUHTEMOC,16,  -99.1422140732,19.4404218952 
MORELOS I,CUAUHTEMOC,8,  -99.1302832655,19.4499366664 
MORELOS III,CUAUHTEMOC,14,  -99.1333320245,19.4453774475 
NONOALCO-TLATELOLCO (U HAB) I,CUAUHTEMOC,7,  -99.1480851254,19.4549126344 
NONOALCO-TLATELOLCO (U HAB) II,CUAUHTEMOC,17,  -99.1417694775,19.4533147946 
NONOALCO-TLATELOLCO (U HAB) III,CUAUHTEMOC,7,  -99.1353568265,19.451696421 
OBRERA I,CUAUHTEMOC,24,  -99.1387615628,19.4195042636 
OBRERA II,CUAUHTEMOC,15,  -99.1392780039,19.4151731171 
OBRERA III,CUAUHTEMOC,34,  -99.1417666594,19.4107565162 
OBRERA IV,CUAUHTEMOC,21,  -99.1380145408,19.4104067222 
PERALVILLO I,CUAUHTEMOC,15,  -99.1374326001,19.4627292503 
PERALVILLO II,CUAUHTEMOC,10,  -99.1306529543,19.4607093703 
ROMA NORTE II,CUAUHTEMOC,17,  -99.1588454263,19.421384627 
ROMA NORTE III,CUAUHTEMOC,12,  -99.1600548176,19.4147537971 
ROMA SUR I,CUAUHTEMOC,12,  -99.1613175937,19.4088498024 
ROMA SUR II,CUAUHTEMOC,7,  -99.1633006972,19.4040153783 
SAN RAFAEL I,CUAUHTEMOC,16,  -99.1594601774,19.4371086313 
SAN RAFAEL II,CUAUHTEMOC,15,  -99.1646939016,19.4385711071 
SANTA MARIA LA RIBERA I,CUAUHTEMOC,27,  -99.1581421108,19.4529587649 
SANTA MARIA LA RIBERA II,CUAUHTEMOC,25,  -99.1585070117,19.4492196589 
SANTA MARIA LA RIBERA IV,CUAUHTEMOC,28,  -99.1594591836,19.4444233884 
AGRICULTURA,MIGUEL HIDALGO,24,  -99.1655203747,19.4504774082 
AHUEHUETES ANAHUAC,MIGUEL HIDALGO,9,  -99.1893986751,19.449420191 
AMERICA,MIGUEL HIDALGO,16,  -99.2025090181,19.4038373239 
ANAHUAC LOS MANZANOS,MIGUEL HIDALGO,11,  -99.1844556553,19.4458752755 
ANAHUAC MARIANO ESCOBEDO,MIGUEL HIDALGO,10,  -99.1811347139,19.4448273269 
ANAHUAC PERALITOS,MIGUEL HIDALGO,10,  -99.1866904533,19.4489699 
ARGENTINA ANTIGUA,MIGUEL HIDALGO,12,  -99.2070212923,19.4555189573 
CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,6,  -99.1866020156,19.4343532798 
DANIEL GARZA,MIGUEL HIDALGO,9,  -99.1990350528,19.4051032197 
DANIEL GARZA (AMPL),MIGUEL HIDALGO,12,  -99.1938392453,19.4092184712 
DEPORTIVA PENSIL,MIGUEL HIDALGO,7,  -99.2076572678,19.450721994 
GRANADA,MIGUEL HIDALGO,8,  -99.1931329781,19.4399132456 
PALMITAS (POLANCO),MIGUEL HIDALGO,6,  -99.2048424103,19.4309018729 
PENSIL NORTE,MIGUEL HIDALGO,19,  -99.1968900454,19.4503013459 
PENSIL SAN JUANICO,MIGUEL HIDALGO,9,  -99.1894451373,19.4517392796 
POPO,MIGUEL HIDALGO,6,  -99.1998754924,19.4457823588 
REFORMA PENSIL,MIGUEL HIDALGO,9,  -99.192927882,19.4491321118 
SAN DIEGO OCOYOACAC,MIGUEL HIDALGO,11,  -99.1968055621,19.4677595999 
SAN JOAQUIN,MIGUEL HIDALGO,11,  -99.2082384537,19.4538864184 
TACUBA,MIGUEL HIDALGO,14,  -99.1870918714,19.4563586061 
TACUBAYA,MIGUEL HIDALGO,15,  -99.1878812024,19.4006032464 
TLAXPANA,MIGUEL HIDALGO,23,  -99.1692564509,19.4406504483 
TORRE BLANCA,MIGUEL HIDALGO,15,  -99.1951872404,19.4574907732 
VENTURA PEREZ DE ALBA,MIGUEL HIDALGO,6,  -99.195727852,19.4532592779 
ANAHUAC I,MIGUEL HIDALGO,29,  -99.1756475978,19.4471950354 
ANAHUAC II,MIGUEL HIDALGO,28,  -99.177507046,19.4412164017 
ESCANDON I,MIGUEL HIDALGO,9,  -99.1781712497,19.4040332209 
ESCANDON II,MIGUEL HIDALGO,14,  -99.1795639374,19.3999943604 
